My age is:,I've worked in design for:,I make:,My job is great because:,My skills include:,I am:,I work in:,I typically work:
44,15 - 20 years,"$75,000 to $99,999",I have a lot of autonomy and  freedom to make decisions|I have the opportunity to learn new skills|There's room to grow in my role|My role is valued|I feel creatively satisfied|The standard of work is pretty high|I respect the people I work with|I'm solving worthwhile problems|There's flexibility over where and when I work,Art direction|Drawing / Painting|Project management|Public speaking|UI design,Extremely satisfied with my work situation,Communication / Graphic design|Environmental design|Interaction design|Motion graphics|UI design,41 - 50 hours
60,5 - 9 years,"Less than $25,000",I have a lot of autonomy and  freedom to make decisions|I have the opportunity to learn new skills|There's room to grow in my role|I feel creatively satisfied|There's flexibility over where and when I work,Drawing / Painting|Photography|Other,"Not really satisfied, but I deal",Communication / Graphic design|Illustration,Less than 40 hours
39,15 - 20 years,"$150,000 to $199,999",I have a lot of autonomy and  freedom to make decisions|I have the opportunity to learn new skills|There's room to grow in my role|I'm solving worthwhile problems|There's flexibility over where and when I work|Benefits are sufficient (and maybe some perks on the side)|I'm in the position to scale my business,Data visualization|Facilitation|Leadership|UI design|UX design,"Happy, but there's room for improvement",Experience design|Interaction design|Strategy|UI design|UX design,41 - 50 hours
24,1 - 4 years,"$35,000 to $49,999",My role is valued|The standard of work is pretty high|I respect the people I work with|I'm paid what I'm worth|Benefits are sufficient (and maybe some perks on the side),Art direction|Drawing / Painting|Mentoring|Project management|SEO / Social Media,"Happy, but there's room for improvement",Communication / Graphic design,40 hours
64,20+ years,"Less than $25,000",N/A,Art direction|Business development|Copywriting|Drawing / Painting|Photography,"Not really satisfied, but I deal",Communication / Graphic design|Education|Illustration|Service design|Social impact design,Less than 40 hours
39,20+ years,"$50,000 to $74,999",I have the opportunity to learn new skills|My role is valued|Benefits are sufficient (and maybe some perks on the side)|I have a manageable workload,Art direction|Copywriting|Leadership|Photography|Project management,"Happy, but there's room for improvement",Communication / Graphic design|Education|Other,40 hours
55,20+ years,"$75,000 to $99,999",I have a lot of autonomy and  freedom to make decisions|The standard of work is pretty high|There's flexibility over where and when I work|Benefits are sufficient (and maybe some perks on the side)|I have no problem acquiring new client work|I have a manageable workload,Art direction|Leadership|Mentoring|Public speaking,"Not really satisfied, but I deal",Communication / Graphic design|Education|Strategy,41 - 50 hours
36,5 - 9 years,"$35,000 to $49,999",I respect the people I work with|There's flexibility over where and when I work|Benefits are sufficient (and maybe some perks on the side),Photography,Ready to call it quits,Communication / Graphic design,40 hours
39,5 - 9 years,"$75,000 to $99,999",I have a lot of autonomy and  freedom to make decisions|I have the opportunity to learn new skills|There's flexibility over where and when I work|I'm paid what I'm worth|Benefits are sufficient (and maybe some perks on the side),Coding|UI design|UX design,"Happy, but there's room for improvement",Interaction design|Service design|UI design|UX design|Other,41 - 50 hours
31,5 - 9 years,"Less than $25,000",My role is valued|I respect the people I work with,Art direction|Drawing / Painting|Film / Video|Photography,Extremely satisfied with my work situation,Communication / Graphic design|Illustration,51 - 60 hours
31,5 - 9 years,"Less than $25,000",My role is valued|I respect the people I work with,Art direction|Drawing / Painting|Film / Video|Photography,Extremely satisfied with my work situation,Communication / Graphic design|Illustration,51 - 60 hours
56,20+ years,"Less than $25,000",I have a lot of autonomy and  freedom to make decisions|I have the opportunity to learn new skills|There's room to grow in my role|My role is valued|I feel creatively satisfied|The standard of work is pretty high|I respect the people I work with|I'm solving worthwhile problems|There's flexibility over where and when I work|Benefits are sufficient (and maybe some perks on the side)|I'm in the position to scale my business|I have no problem acquiring new client work,Art direction|Copywriting|Drawing / Painting|Leadership|Photography,Extremely satisfied with my work situation,Communication / Graphic design|Packaging design,61 + hours
26,5 - 9 years,"Less than $25,000",I have a lot of autonomy and  freedom to make decisions|I have the opportunity to learn new skills|There's room to grow in my role|My role is valued|I feel creatively satisfied|The standard of work is pretty high|I respect the people I work with|I'm solving worthwhile problems|There's flexibility over where and when I work|I have a manageable workload,Art direction|Coding|Drawing / Painting|Photography|UI design,Extremely satisfied with my work situation,Communication / Graphic design|Illustration|UI design,41 - 50 hours
53,20+ years,"$100,000 to $149,999",I have a lot of autonomy and  freedom to make decisions|I have the opportunity to learn new skills|There's flexibility over where and when I work,Art direction,"Happy, but there's room for improvement",Communication / Graphic design,40 hours
26,1 - 4 years,"Less than $25,000",I have the opportunity to learn new skills|There's room to grow in my role|I feel creatively satisfied|I respect the people I work with|I'm solving worthwhile problems|There's flexibility over where and when I work,Drawing / Painting|Research|UI design|UX design,Extremely satisfied with my work situation,Experience design|Illustration|Interaction design|Research|UX design,Less than 40 hours
0,20+ years,"$150,000 to $199,999",I have a lot of autonomy and  freedom to make decisions|I have the opportunity to learn new skills|There's room to grow in my role|My role is valued|I feel creatively satisfied|The standard of work is pretty high|I respect the people I work with|I'm solving worthwhile problems|There's flexibility over where and when I work|I'm paid what I'm worth|Benefits are sufficient (and maybe some perks on the side),Art direction|Facilitation|Leadership|Mentoring|UX design,Extremely satisfied with my work situation,Communication / Graphic design|Experience design|Service design|Strategy|UX design,40 hours
31,10 - 14 years,"$75,000 to $99,999",I have a lot of autonomy and  freedom to make decisions|I have the opportunity to learn new skills|I feel creatively satisfied|The standard of work is pretty high|I'm paid what I'm worth,"3D / Animation software (Rhino, After Effects, Unity, etc.)|Art direction|Data visualization|Leadership|SEO / Social Media","Happy, but there's room for improvement",Communication / Graphic design|Motion graphics,40 hours
25,1 - 4 years,"Less than $25,000",I have the opportunity to learn new skills|There's room to grow in my role|My role is valued|I feel creatively satisfied|The standard of work is pretty high|I respect the people I work with,"3D / Animation software (Rhino, After Effects, Unity, etc.)|Art direction|Coding|Drawing / Painting|Photography",Extremely satisfied with my work situation,Communication / Graphic design|Illustration|Packaging design|UI design,41 - 50 hours
47,5 - 9 years,"Less than $25,000",I have a lot of autonomy and  freedom to make decisions|I have the opportunity to learn new skills|There's room to grow in my role|I feel creatively satisfied|The standard of work is pretty high|I respect the people I work with|There's flexibility over where and when I work,Art direction|Copywriting|Data analysis|Data visualization|Research,"Happy, but there's room for improvement",Communication / Graphic design|Other,51 - 60 hours
